Distance_km,Clean_dB,Noisy_dB
0.000000000000000000e+00,0.000000000000000000e+00,-1.336338850272391854e+00
1.000050002500125048e-03,-2.000100005000250204e-04,-1.031452591414587366e-01
2.000100005000250095e-03,-4.000200010000500407e-04,6.522607821420936536e-02
3.000150007500375360e-03,-6.000300015000751153e-04,-5.795199245957491918e-01
4.000200010000500191e-03,-8.000400020001000815e-04,1.280244920196806691e+00
5.000250012500625021e-03,-1.000050002500125048e-03,-1.876122068497491913e-01
6.000300015000750720e-03,-1.200060003000150231e-03,7.080074801755067426e-01
7.000350017500875550e-03,-1.400070003500175197e-03,-4.241218390971578933e-01
8.000400020001000381e-03,-1.600080004000200163e-03,-1.987672203466070153e-01
9.000450022501126079e-03,-1.800090004500225346e-03,-7.876139117449415528e-01
1.000050002500125004e-02,-2.000100005000250095e-03,1.757282579121164368e+00
1.100055002750137574e-02,-2.200110005500275061e-03,-1.166445680222397252e+00
1.200060003000150144e-02,-2.400120006000300461e-03,1.314720340823958278e+00
1.300065003250162540e-02,-2.600130006500325427e-03,1.118127037993610573e+00
1.400070003500175110e-02,-2.800140007000350394e-03,2.150695099819734391e-01
1.500075003750187506e-02,-3.000150007500375360e-03,4.027025629450065730e-02
1.600080004000200076e-02,-3.200160008000400326e-03,-2.109982471221726108e+00
1.700085004250212473e-02,-3.400170008500425292e-03,-5.699288803302170470e-01
1.800090004500225216e-02,-3.600180009000450692e-03,5.367760661376597131e-01
1.900095004750237612e-02,-3.800190009500475224e-03,1.576534572119774047e-01
2.000100005000250009e-02,-4.000200010000500191e-03,-5.093728119914648911e-01
2.100105005250262752e-02,-4.200210010500526024e-03,2.509982463515419426e-01
2.200110005500275148e-02,-4.400220011000550123e-03,1.859659203021936102e-01
2.300115005750287545e-02,-4.600230011500575089e-03,-8.858458395467017077e-01
2.400120006000300288e-02,-4.800240012000600923e-03,-5.703077115631306482e-01
2.500125006250312684e-02,-5.000250012500625889e-03,-4.224807728461166256e-01
2.600130006500325081e-02,-5.200260013000650855e-03,-3.402208182873693865e-01
2.700135006750337477e-02,-5.400270013500674954e-03,2.477044780015289493e-01
2.800140007000350220e-02,-5.600280014000700787e-03,5.248183232160057443e-01
2.900145007250362617e-02,-5.800290014500725753e-03,-8.643640217630681466e-01
3.000150007500375013e-02,-6.000300015000750720e-03,-5.095504877609497996e-01
3.100155007750387756e-02,-6.200310015500775686e-03,-1.694831415026150978e+00
3.200160008000400153e-02,-6.400320016000800652e-03,6.761845432982321880e-01
3.300165008250412896e-02,-6.600330016500826485e-03,-1.366322550045535600e+00
3.400170008500424945e-02,-6.800340017000850584e-03,-9.777378300682291190e-01
3.500175008750437688e-02,-7.000350017500875550e-03,4.266064213380493797e-03
3.600180009000450432e-02,-7.200360018000901384e-03,5.399142235059740669e-01
3.700185009250462481e-02,-7.400370018500925483e-03,3.738385382902575937e-01
3.800190009500475224e-02,-7.600380019000950449e-03,6.235814447273096972e-02
3.900195009750487968e-02,-7.800390019500976282e-03,4.534297564631771804e-01
4.000200010000500017e-02,-8.000400020001000381e-03,-1.125979470669735027e+00
4.100205010250512760e-02,-8.200410020501026215e-03,4.602830030170051989e-01
